trade_date,open,high,low,close
20210514,75.3,76.57,73.62,76.44
20210517,77.0,79.35,76.88,78.4
20210518,79.8,80.0,77.2,77.84
20210519,77.05,77.76,76.5,77.33
20210520,79.0,80.86,77.57,80.7
20210521,81.1,83.1,80.87,81.55
20210524,82.63,83.0,80.95,82.2
20210525,82.97,84.2,82.34,83.28
20210526,83.9,84.99,82.45,84.33
20210527,84.99,85.03,83.43,83.9
20210528,83.28,83.29,82.0,82.53
20210531,82.7,82.7,79.74,81.0
20210601,80.91,80.91,79.32,80.17
20210602,79.4,79.5,78.5,79.5
20210603,79.5,79.84,77.48,77.93
20210604,77.41,78.5,76.53,77.73
20210607,77.75,77.77,76.15,76.78
20210608,76.9,77.3,75.63,76.02
20210609,76.27,76.62,75.2,75.59
20210610,75.7,75.94,74.9,75.4
20210611,75.4,75.6,73.51,74.0
20210615,73.87,74.5,72.0,73.24
20210616,73.9,75.26,73.2,75.0
20210617,75.2,75.33,73.3,73.46
20210618,73.33,74.21,72.16,73.8
20210621,73.82,73.83,71.17,72.0
20210622,71.9,72.88,70.88,71.28
20210623,71.21,73.29,70.7,73.17
20210624,74.5,74.5,72.71,73.2
20210625,73.57,73.78,72.58,73.17
20210628,73.18,73.9,72.5,73.21
20210629,73.78,73.8,71.24,71.46
20210630,71.1,71.9,70.85,71.37
20210701,71.3,73.39,70.56,73.24
20210702,72.63,72.75,70.66,71.1
20210705,70.28,70.37,66.78,68.2
20210706,67.66,69.35,66.81,68.61
20210707,68.95,71.95,68.61,70.39
20210708,70.0,70.79,68.86,70.0
20210709,69.55,70.58,68.71,69.2
20210712,69.64,71.5,68.92,70.7
20210713,70.78,73.33,70.58,72.8
20210714,72.45,72.8,71.56,72.0
20210715,72.0,72.35,70.61,71.17
20210716,71.3,71.3,68.8,69.7
20210719,69.79,70.3,68.6,70.14
20210720,69.66,70.22,69.01,69.61
20210721,69.72,69.92,67.81,67.99
20210722,67.99,69.89,66.98,68.3
20210723,68.3,68.88,66.51,66.96
20210726,65.58,66.07,63.87,64.68
20210727,64.67,64.98,61.4,61.4
20210728,61.4,63.8,61.11,63.28
20210729,64.5,64.5,62.63,63.3
20210730,63.09,64.08,61.96,63.51
20210802,63.5,66.66,62.58,66.08
20210803,65.5,72.26,65.18,70.92
20210804,70.4,71.68,69.73,69.99
20210805,69.45,71.61,69.09,69.9
20210806,70.0,71.05,68.05,70.35
20210809,69.6,73.5,69.37,72.47
20210810,72.1,72.85,70.83,72.85
20210811,72.34,73.55,71.87,71.93
20210812,71.5,72.47,70.6,70.92
20210813,70.92,71.98,69.8,71.61
20210816,71.61,75.45,71.45,74.99
20210817,74.98,75.5,73.11,73.4
20210818,73.39,75.0,72.7,74.5
20210819,74.96,75.28,71.87,71.94
20210820,70.99,72.49,69.79,72.0
20210823,71.7,72.55,70.13,70.61
20210824,70.2,71.15,68.18,70.5
20210825,70.1,70.7,69.0,69.15
20210826,69.14,69.65,67.51,67.93
20210827,67.93,68.98,67.38,67.8
20210830,67.95,68.11,65.31,65.98
20210831,65.9,67.89,65.26,66.0
20210901,66.51,69.85,65.18,69.15
20210902,69.58,69.58,67.85,69.19
20210903,68.97,70.13,68.2,70.04
20210906,70.12,73.24,70.11,72.12
20210907,72.7,73.93,71.81,73.02
20210908,73.0,73.65,72.21,72.72
20210909,72.72,73.35,71.23,72.02
20210910,72.02,73.0,71.1,72.4
20210913,72.32,72.69,70.73,70.98
20210914,71.0,71.4,68.21,68.43
20210915,68.01,68.42,65.8,66.52
